text,emotion,confidence_score
My blood is boiling because of this food!,anger,0.9885900616645813
I'm enraged by this event!,anger,0.9855692982673645
How dare they my job!,anger,0.9891932606697083
How dare they this discovery!,anger,0.9795954823493958
my health is making me livid!,anger,0.9809519648551941
I'm absolutely furious about my relationship!,anger,0.9852026104927063
my finances is making me livid!,anger,0.9811216592788696
How dare they this surprise!,anger,0.6198326349258423
my finances is making me livid!,anger,0.9811216592788696
I'm so mad I can't even think straight about this event!,anger,0.8306689262390137
I'm enraged by the weather!,anger,0.9857550859451294
My blood is boiling because of my friends!,anger,0.9923834204673767
My blood is boiling because of this achievement!,anger,0.9931187629699707
I'm enraged by this realization!,anger,0.9860535264015198
I'm boiling with rage because of this food.,anger,0.9916170239448547
I'm enraged by my health!,anger,0.9873894453048706
My blood is boiling because of this conversation!,anger,0.9930222630500793
I'm absolutely furious about my friends!,anger,0.9831013083457947
This this surprise makes me so angry I could scream!,anger,0.6412873864173889
How dare they this conversation!,anger,0.984288215637207
This my finances makes me so angry I could scream!,anger,0.9855244755744934
I'm boiling with rage because of this place.,anger,0.9900970458984375
this food is making me livid!,anger,0.9657492637634277
This my relationship is completely unacceptable!,anger,0.8595867156982422
I'm head over heels for the future!,anger,0.4142318665981293
I'm so mad I can't even think straight about this event!,anger,0.8306689262390137
I'm absolutely furious about this place!,anger,0.9822925925254822
How dare they this discovery!,anger,0.9795954823493958
This this decision makes me so angry I could scream!,anger,0.987135112285614
This my relationship makes me so angry I could scream!,anger,0.9863550066947937
My blood is boiling because of this failure!,anger,0.9924042820930481
I'm enraged by this decision!,anger,0.985529899597168
I'm absolutely furious about this moment!,anger,0.9833778142929077
This this movie makes me so angry I could scream!,anger,0.9881929755210876
This this achievement makes me so angry I could scream!,anger,0.9891065955162048
I'm absolutely furious about my job!,anger,0.9846396446228027
I'm absolutely furious about this gift!,anger,0.9828361868858337
this place is making me livid!,anger,0.9797858595848083
This the weather is completely unacceptable!,anger,0.5867133736610413
I'm enraged by this achievement!,anger,0.9858217835426331
the future is making me livid!,anger,0.9862896800041199
I'm completely enamored with my relationship!,anger,0.7469531297683716
How dare they the past!,anger,0.9841187000274658
My blood is boiling because of my friends!,anger,0.9923834204673767
This this discovery makes me so angry I could scream!,anger,0.9883946180343628
I'm so mad I can't even think straight about this situation!,anger,0.8512074947357178
How dare they this surprise!,anger,0.6198326349258423
My blood is boiling because of this surprise!,anger,0.9274477362632751
How dare they this achievement!,anger,0.981695294380188
I'm so mad I can't even think straight about this realization!,anger,0.8459915518760681
I'm absolutely furious about this gift!,anger,0.9828361868858337
I'm so mad I can't even think straight about these changes!,anger,0.8453059792518616
I'm boiling with rage because of this place.,anger,0.9900970458984375
I'm boiling with rage because of my job.,anger,0.9925172328948975
My blood is boiling because of this conversation!,anger,0.9930222630500793
I'm head over heels for this song!,anger,0.38694101572036743
I'm head over heels for this decision!,anger,0.4459875822067261
This this opportunity is completely unacceptable!,anger,0.8244149684906006
I'm absolutely furious about the future!,anger,0.983767032623291
I'm so mad I can't even think straight about this achievement!,anger,0.8567900061607361
How dare they this memory!,anger,0.9815194606781006
this situation is making me livid!,anger,0.9843228459358215
My blood is boiling because of this place!,anger,0.9896384477615356
I'm absolutely furious about this situation!,anger,0.980885922908783
How dare they my family!,anger,0.9878467917442322
I'm enraged by this movie!,anger,0.9864522218704224
I'm enraged by the past!,anger,0.9849361777305603
I'm enraged by this book!,anger,0.986189067363739
this failure has me seeing red!,anger,0.5433030128479004
How dare they this opportunity!,anger,0.9862416982650757
This this movie is completely unacceptable!,anger,0.4801340401172638
this decision is making me livid!,anger,0.9837318658828735
I'm so mad I can't even think straight about this decision!,anger,0.8766627907752991
My blood is boiling because of these changes!,anger,0.9918311238288879
I'm so mad I can't even think straight about this decision!,anger,0.8766627907752991
This this place is completely unacceptable!,anger,0.6126180291175842
I'm absolutely furious about the weather!,anger,0.9844098091125488
I'm boiling with rage because of the weather.,anger,0.991852343082428
I'm absolutely furious about my friends!,anger,0.9831013083457947
This this decision is completely unacceptable!,anger,0.7777758240699768
I'm boiling with rage because of my job.,anger,0.9925172328948975
This my family makes me so angry I could scream!,anger,0.9846274256706238
This the past makes me so angry I could scream!,anger,0.9855420589447021
I'm enraged by this memory!,anger,0.9859685897827148
I'm head over heels for this opportunity!,anger,0.28482070565223694
I'm absolutely furious about this place!,anger,0.9822925925254822
How dare they this event!,anger,0.981819748878479
I'm head over heels for this memory!,anger,0.3769678473472595
I'm so mad I can't even think straight about this event!,anger,0.8306689262390137
I'm head over heels for my family!,anger,0.6836228370666504
I'm so mad I can't even think straight about this moment!,anger,0.841686487197876
My blood is boiling because of my job!,anger,0.9931911826133728
This this movie is completely unacceptable!,anger,0.4801340401172638
I'm absolutely furious about my family!,anger,0.9849473237991333
This this memory is completely unacceptable!,anger,0.5535905361175537
this decision is making me livid!,anger,0.9837318658828735
I'm so mad I can't even think straight about my finances!,anger,0.8431413173675537
My blood is boiling because of the past!,anger,0.9914724826812744
I'm enraged by this challenge!,anger,0.986743688583374
My blood is boiling because of the weather!,anger,0.9925798773765564
I'm boiling with rage because of this song.,anger,0.990496039390564
This this gift is completely unacceptable!,anger,0.6913625001907349
the past is the love of my life!,anger,0.3718547821044922
This this food makes me so angry I could scream!,anger,0.9874256253242493
I'm absolutely furious about my friends!,anger,0.9831013083457947
I'm so mad I can't even think straight about the past!,anger,0.839447557926178
I'm completely enamored with this failure!,anger,0.7088040113449097
my finances is making me livid!,anger,0.9811216592788696
I'm so mad I can't even think straight about this decision!,anger,0.8766627907752991
I'm absolutely furious about this surprise!,anger,0.9252762198448181
This this realization makes me so angry I could scream!,anger,0.9874027967453003
my relationship is making me livid!,anger,0.9904453754425049
I'm boiling with rage because of the news.,anger,0.9926387071609497
this gift is making me livid!,anger,0.97407466173172
This this movie makes me so angry I could scream!,anger,0.9881929755210876
This these changes is completely unacceptable!,anger,0.6247477531433105
I'm so mad I can't even think straight about this place!,anger,0.8175250291824341
My blood is boiling because of this book!,anger,0.9920627474784851
I'm head over heels for my job!,anger,0.5435160994529724
I'm enraged by these changes!,anger,0.9878843426704407
this situation is making me livid!,anger,0.9843228459358215
This these changes is completely unacceptable!,anger,0.6247477531433105
How dare they this decision!,anger,0.9821071028709412
I'm absolutely furious about this place!,anger,0.9822925925254822
I'm so mad I can't even think straight about this discovery!,anger,0.8266804218292236
How dare they this situation!,anger,0.9810178279876709
This my finances makes me so angry I could scream!,anger,0.9855244755744934
I'm absolutely furious about this achievement!,anger,0.9843676686286926
How dare they this conversation!,anger,0.984288215637207
My blood is boiling because of my finances!,anger,0.9927318692207336
How dare they this gift!,anger,0.9775736927986145
This the weather is completely unacceptable!,anger,0.5867133736610413
this opportunity is making me livid!,anger,0.984745442867279
How dare they this situation!,anger,0.9810178279876709
This this gift is completely unacceptable!,anger,0.6913625001907349
This this failure makes me so angry I could scream!,anger,0.9893054962158203
I'm boiling with rage because of this gift.,anger,0.991507887840271
