sentence,predicted_emotion,confidence
this memory took me completely by surprise!,surprise,0.957687258720398
I can't sleep because I'm so scared of my job.,fear,0.9925634264945984
the news is making me feel so lonely.,sadness,0.9875825047492981
I'm astonished by this failure!,surprise,0.973642885684967
This this place makes me so angry I could scream!,anger,0.9863068461418152
this failure is my worst nightmare!,disgust,0.5235680341720581
this surprise has me seeing red!,surprise,0.9623927474021912
the future left me speechless!,fear,0.6637737154960632
There's nothing special about the past.,neutral,0.9341537356376648
This this food brings me so much happiness!,joy,0.9870657920837402
This this place has me feeling blue.,sadness,0.8289530873298645
My love for these changes knows no bounds.,joy,0.7046207189559937
This this food scares me to death!,fear,0.9554722905158997
I'm paralyzed with fear about my job.,fear,0.9900644421577454
I feel such deep love for this event.,joy,0.9658201932907104
My jaw dropped when I saw this surprise!,surprise,0.9725443124771118
I'm over the moon about this realization!,surprise,0.657130777835846
I'm paralyzed with fear about this book.,fear,0.9918596148490906
I can't stop crying about this realization.,sadness,0.840827226638794
I'm terrified of my relationship!,fear,0.9937738180160522
This the past has left me heartbroken.,sadness,0.9850708246231079
I'm so happy about this event!,joy,0.982719898223877
I'm paralyzed with fear about this moment.,fear,0.9898062348365784
My blood is boiling because of the weather!,anger,0.9925798773765564
I'm boiling with rage because of the weather.,anger,0.991852343082428
I'm terrified of this challenge!,fear,0.9922426342964172
I'm paralyzed with fear about this decision.,fear,0.9898882508277893
the future has me seeing red!,surprise,0.6074320077896118
My heart aches because of this gift.,sadness,0.9600188136100769
this opportunity makes my heart flutter!,fear,0.700202465057373
I can't sleep because I'm so scared of my health.,fear,0.9913950562477112
My heart aches because of the weather.,sadness,0.9496896862983704
I'm completely shocked by this achievement!,surprise,0.9791445136070251
I'm terrified of the past!,fear,0.9912341237068176
I noticed the weather today.,surprise,0.7284250855445862
I'm shaking with fear because of this situation.,fear,0.9942650198936462
I can't sleep because I'm so scared of my relationship.,fear,0.9913109540939331
I'm indifferent about these changes.,disgust,0.5313972234725952
I'm shaking with fear because of my job.,fear,0.9949801564216614
I never expected this place to happen!,surprise,0.953487753868103
What an unexpected my family!,surprise,0.8865463733673096
I observed this song without much reaction.,disgust,0.8752188086509705
Tears won't stop falling because of my job.,sadness,0.9051652550697327
this conversation happened as expected.,neutral,0.7111818790435791
Tears won't stop falling because of this conversation.,sadness,0.7048529982566833
I'm completely shocked by this movie!,surprise,0.9782202243804932
I'm terrified of this realization!,fear,0.9922490119934082
I'm astonished by my job!,surprise,0.9759558439254761
I'm astonished by my finances!,surprise,0.97633957862854
How dare they the past!,anger,0.9841187000274658
I'm boiling with rage because of my family.,anger,0.9915832877159119
I'm flabbergasted by this song!,surprise,0.9279127717018127
I'm in the depths of despair because of this event.,fear,0.8893284201622009
This this place makes me so angry I could scream!,anger,0.9863068461418152
this gift took me completely by surprise!,surprise,0.9014362692832947
I'm over the moon about this failure!,disgust,0.3057557940483093
My anxiety about this surprise is overwhelming.,surprise,0.7345566153526306
I'm grieving over this achievement.,sadness,0.9839297533035278
This is the best day ever because of this book!,joy,0.7592572569847107
My heart is full of joy because of my job.,joy,0.9920454025268555
I'm head over heels for this opportunity!,anger,0.28482070565223694
My soul is filled with love because of my relationship.,sadness,0.5366902947425842
I can't stop smiling about this surprise!,joy,0.7575147151947021
I noticed these changes today.,surprise,0.6200371384620667
This this song has me feeling blue.,sadness,0.9230429530143738
this movie has me seeing red!,surprise,0.7313038110733032
I'm absolutely furious about the weather!,anger,0.9844098091125488
My heart is full of joy because of this book.,joy,0.9912503957748413
My soul is filled with love because of these changes.,joy,0.49117231369018555
this realization left me speechless!,surprise,0.6324477195739746
