sentence,predicted_emotion,confidence
My soul is filled with love because of this movie.,joy,0.6829097270965576
these changes doesn't affect me much.,neutral,0.8298839330673218
I'm so happy about this moment!,joy,0.9821635484695435
My soul is filled with love because of this opportunity.,joy,0.9351336359977722
I can't stop smiling about my job!,joy,0.9707604646682739
I'm completely shocked by this discovery!,surprise,0.9776905179023743
My affection for this achievement grows every day.,joy,0.7845633029937744
I'm completely enamored with this memory!,joy,0.6752503514289856
What an unexpected this event!,surprise,0.9459967017173767
I'm astonished by this failure!,surprise,0.973642885684967
My blood is boiling because of this moment!,anger,0.9920124411582947
I'm indifferent about this situation.,disgust,0.567813515663147
I observed this conversation without much reaction.,disgust,0.918975830078125
this challenge makes me feel ecstatic!,joy,0.981155276298523
I observed this memory without much reaction.,disgust,0.660762369632721
How dare they my job!,anger,0.9891932606697083
my relationship happened as expected.,surprise,0.509903609752655
This this gift is neither good nor bad.,disgust,0.809571385383606
I can't stop smiling about the news!,joy,0.9824487566947937
I'm paralyzed with fear about the future.,fear,0.9808835983276367
this challenge is my worst nightmare!,disgust,0.44986453652381897
this moment makes my heart flutter!,fear,0.6690599322319031
This this opportunity makes me so angry I could scream!,anger,0.9888982176780701
this conversation is making me feel so lonely.,sadness,0.977790117263794
Tears won't stop falling because of the news.,sadness,0.8787837028503418
I'm flabbergasted by this event!,surprise,0.8954308032989502
This the future came out of nowhere!,surprise,0.8633666038513184
I never expected this moment to happen!,surprise,0.9442083835601807
the weather is making me feel so lonely.,sadness,0.9873215556144714
Wow! I can't believe these changes happened!,surprise,0.9784080982208252
I'm shaking with fear because of this realization.,fear,0.9945650100708008
I adore this song with all my heart!,joy,0.9797267913818359
I can't sleep because I'm so scared of this discovery.,fear,0.9903262257575989
I'm shaking with fear because of the news.,fear,0.9942865967750549
I'm thrilled beyond words about this moment!,joy,0.9565707445144653
My blood is boiling because of this realization!,anger,0.9927518367767334
The thought of this failure fills me with dread.,fear,0.9888527393341064
this surprise is making me livid!,anger,0.8815586566925049
This this event brings me so much happiness!,joy,0.9881044030189514
I'm boiling with rage because of this gift.,anger,0.991507887840271
