Text,Sentiment,Confidence
Great service and fast delivery.,POSITIVE,0.9998623132705688
Highly recommended!,POSITIVE,0.9998573064804077
Decent value for money.,POSITIVE,0.9998176693916321
"Excellent app, works perfectly.",POSITIVE,0.9998735189437866
Not recommended at all.,NEGATIVE,0.9997037053108215
Great service and fast delivery.,POSITIVE,0.9998623132705688
Absolutely fantastic!,POSITIVE,0.9998712539672852
App keeps crashing.,NEGATIVE,0.9405221939086914
Worst product I've ever bought.,NEGATIVE,0.9998039603233337
App keeps crashing.,NEGATIVE,0.9405221939086914
Nothing special.,NEGATIVE,0.9997212290763855
"It's okay, not great.",NEGATIVE,0.976600170135498
Just fine.,POSITIVE,0.9998599290847778
It broke after one use.,NEGATIVE,0.9986989498138428
Mediocre service.,NEGATIVE,0.9996466636657715
Meets the minimum requirements.,POSITIVE,0.9993358254432678
I love this product.,POSITIVE,0.9998775720596313
Not recommended at all.,NEGATIVE,0.9997037053108215
Exceeded my expectations.,POSITIVE,0.9992343187332153
Exceeded my expectations.,POSITIVE,0.9992343187332153
Standard experience.,POSITIVE,0.9918662905693054
No strong feelings.,NEGATIVE,0.9996711015701294
Absolutely fantastic!,POSITIVE,0.9998712539672852
Exceeded my expectations.,POSITIVE,0.9992343187332153
Top-notch quality!,POSITIVE,0.9998548030853271
Absolutely fantastic!,POSITIVE,0.9998712539672852
Customer support was helpful and friendly.,POSITIVE,0.9998148083686829
"It's okay, not great.",NEGATIVE,0.976600170135498
Customer service was rude.,NEGATIVE,0.9995649456977844
Worst product I've ever bought.,NEGATIVE,0.9998039603233337
No strong feelings.,NEGATIVE,0.9996711015701294
"It's okay, not great.",NEGATIVE,0.976600170135498
"Excellent app, works perfectly.",POSITIVE,0.9998735189437866
Average performance.,NEGATIVE,0.8026580214500427
Average performance.,NEGATIVE,0.8026580214500427
Decent value for money.,POSITIVE,0.9998176693916321
Customer support was helpful and friendly.,POSITIVE,0.9998148083686829
Waste of money.,NEGATIVE,0.9997840523719788
Absolutely fantastic!,POSITIVE,0.9998712539672852
Absolutely fantastic!,POSITIVE,0.9998712539672852
Waste of money.,NEGATIVE,0.9997840523719788
I love this product.,POSITIVE,0.9998775720596313
Customer support was helpful and friendly.,POSITIVE,0.9998148083686829
Customer service was rude.,NEGATIVE,0.9995649456977844
"It's okay, not great.",NEGATIVE,0.976600170135498
Very satisfied with the experience.,POSITIVE,0.9997712969779968
Not what I expected.,NEGATIVE,0.9997621178627014
Great service and fast delivery.,POSITIVE,0.9998623132705688
Highly recommended!,POSITIVE,0.9998573064804077
Fast and reliable.,POSITIVE,0.9998587369918823
Waste of money.,NEGATIVE,0.9997840523719788
Great service and fast delivery.,POSITIVE,0.9998623132705688
Customer service was rude.,NEGATIVE,0.9995649456977844
Exceeded my expectations.,POSITIVE,0.9992343187332153
Highly recommended!,POSITIVE,0.9998573064804077
